"participant","block","trial","correct","latency"
6,"test.sc_dark.Darkgood","badleft",1,767
6,"test.sc_dark.Darkgood","badleft",1,597
6,"test.sc_dark.Darkgood","goodright",1,583
6,"test.sc_dark.Darkgood","goodright",1,459
6,"test.sc_dark.Darkgood","darkright",1,447
6,"test.sc_dark.Darkgood","goodright",1,427
6,"test.sc_dark.Darkgood","goodright",1,624
6,"test.sc_dark.Darkgood","badleft",1,460
6,"test.sc_dark.Darkgood","badleft",1,542
6,"test.sc_dark.Darkgood","badleft",1,519
6,"test.sc_dark.Darkgood","darkright",1,566
6,"test.sc_dark.Darkgood","darkright",1,856
6,"test.sc_dark.Darkgood","darkright",1,393
6,"test.sc_dark.Darkgood","badleft",1,2165
6,"test.sc_dark.Darkgood","darkright",1,546
6,"test.sc_dark.Darkgood","badleft",1,574
6,"test.sc_dark.Darkgood","badleft",1,504
6,"test.sc_dark.Darkgood","darkright",1,452
6,"test.sc_dark.Darkgood","badleft",1,1182
6,"test.sc_dark.Darkgood","badleft",1,614
6,"test.sc_dark.Darkgood","darkright",1,392
6,"test.sc_dark.Darkgood","darkright",1,407
6,"test.sc_dark.Darkgood","goodright",1,670
6,"test.sc_dark.Darkgood","badleft",1,690
6,"test.sc_dark.Darkgood","darkright",1,619
6,"test.sc_dark.Darkgood","goodright",1,557
6,"test.sc_dark.Darkgood","badleft",1,980
6,"test.sc_dark.Darkgood","goodright",1,661
6,"test.sc_dark.Darkgood","badleft",1,590
6,"test.sc_dark.Darkgood","badleft",1,514
6,"test.sc_dark.Darkgood","badleft",1,591
6,"test.sc_dark.Darkgood","badleft",1,507
6,"test.sc_dark.Darkgood","badleft",1,482
6,"test.sc_dark.Darkgood","goodright",1,473
6,"test.sc_dark.Darkgood","goodright",1,485
6,"test.sc_dark.Darkgood","badleft",1,508
6,"test.sc_dark.Darkgood","goodright",1,792
6,"test.sc_dark.Darkgood","badleft",1,564
6,"test.sc_dark.Darkgood","badleft",1,963
6,"test.sc_dark.Darkgood","darkright",1,689
6,"test.sc_dark.Darkgood","badleft",1,659
6,"test.sc_dark.Darkgood","darkright",1,567
6,"test.sc_dark.Darkgood","darkright",1,398
6,"test.sc_dark.Darkgood","badleft",1,533
